"ds_evento","cd_movimento","cd_evento","ind_fluxo_ri","cd_tipo_complemento","ds_valor_complemento"
Decisão colegiada terminativa,"220",DCT,S,5014,SUSPENSÃO DE LIMINAR OU ANTECIPAÇÃO DE TUTELA (144)
Decisão colegiada terminativa,"220",DCT,S,5014,TUTELA ANTECIPADA ANTECEDENTE (12135)
Decisão colegiada terminativa,"220",DCT,S,5014,TUTELA CAUTELAR ANTECEDENTE (12134)
Decisão colegiada terminativa,"220",DCT,S,5014,
Decisão colegiada terminativa,"220",DCT,S,5023,Antecipação de Tutela
Decisão colegiada terminativa,"220",DCT,S,5023,Exceção de Suspeição
Decisão colegiada terminativa,"220",DCT,S,5023,Impugnação à Sentença de Liquidação
Decisão colegiada terminativa,"220",DCT,S,5023,
Decisão colegiada terminativa,"221",DCT,S,5014,AÇÃO ANULATÓRIA DE CLÁUSULAS CONVENCIONAIS (976)
Decisão colegiada terminativa,"221",DCT,S,5014,AÇÃO RESCISÓRIA (47)
Decisão colegiada terminativa,"221",DCT,S,5014,CAUTELAR INOMINADA (183)
Decisão colegiada terminativa,"221",DCT,S,5014,CONFLITO DE COMPETÊNCIA (221)
Decisão colegiada terminativa,"221",DCT,S,5014,DISSÍDIO COLETIVO (987)
Decisão colegiada terminativa,"221",DCT,S,5014,DISSÍDIO COLETIVO DE GREVE (988)
Decisão colegiada terminativa,"221",DCT,S,5014,IMPUGNAÇÃO AO VALOR DA CAUSA (231)
Decisão colegiada terminativa,"221",DCT,S,5014,INCIDENTE DE ARGUIÇÃO DE INCONSTITUCIONALIDADE CRIMINAL (1178)
Decisão colegiada terminativa,"221",DCT,S,5014,MANDADO DE SEGURANÇA (120)
Decisão colegiada terminativa,"221",DCT,S,5014,MANDADO DE SEGURANÇA COLETIVO (119)
Decisão colegiada terminativa,"221",DCT,S,5014,RECURSO ORDINÁRIO (1009)
Decisão colegiada terminativa,"221",DCT,S,5014,RECURSO ORDINÁRIO EM PROCEDIMENTO SUMARÍSSIMO (11886)
Decisão colegiada terminativa,"221",DCT,S,5014,RECURSO ORDINÁRIO TRABALHISTA (1009)
Decisão colegiada terminativa,"221",DCT,S,5014,TUTELA ANTECIPADA ANTECEDENTE (12135)
Decisão colegiada terminativa,"221",DCT,S,5014,TUTELA CAUTELAR ANTECEDENTE (12134)
Decisão colegiada terminativa,"221",DCT,S,5014,
Decisão colegiada terminativa,"221",DCT,S,5023,Antecipação de Tutela
Decisão colegiada terminativa,"221",DCT,S,5023,Impugnação à Sentença de Liquidação
Decisão colegiada terminativa,"221",DCT,S,5023,
Decisão colegiada terminativa,"230",DCT,S,5024,Agravo de Instrumento em Agravo de Petição
Decisão colegiada terminativa,"230",DCT,S,5024,Agravo de Instrumento em Recurso Ordinário
Decisão colegiada terminativa,"230",DCT,S,5024,Agravo de Petição
Decisão colegiada terminativa,"230",DCT,S,5024,Agravo Regimental
Decisão colegiada terminativa,"230",DCT,S,5024,Embargos de Declaração
Decisão colegiada terminativa,"230",DCT,S,5024,Recurso Adesivo
Decisão colegiada terminativa,"230",DCT,S,5024,Recurso de Revista
Decisão colegiada terminativa,"230",DCT,S,5024,Recurso Ordinário
Decisão colegiada terminativa,"230",DCT,S,5024,Reexame Necessário
Decisão colegiada terminativa,"230",DCT,S,5024,Reexame Necessário/Recurso Ordinário
Decisão colegiada terminativa,"235",DCT,S,5008,agravante
Decisão colegiada terminativa,"235",DCT,S,5008,AMAZING FOODS INDUSTRIA DE ALIMENTOS LTDA
Decisão colegiada terminativa,"235",DCT,S,5008,Ambev
Decisão colegiada terminativa,"235",DCT,S,5008,ANTONIO ORLANDO GRECO
Decisão colegiada terminativa,"235",DCT,S,5008,BRUNA DE MELLO
Decisão colegiada terminativa,"235",DCT,S,5008,CLARO S/A
Decisão colegiada terminativa,"235",DCT,S,5008,Comercial de Calçados Betim
Decisão colegiada terminativa,"235",DCT,S,5008,Cristiano Augusto Carneiro
Decisão colegiada terminativa,"235",DCT,S,5008,daniel
Decisão colegiada terminativa,"235",DCT,S,5008,Dirceu Marcelo Hoffman
Decisão colegiada terminativa,"235",DCT,S,5008,DIRCEU MARCELO HOFFMANN
Decisão colegiada terminativa,"235",DCT,S,5008,Dytech Tecalon Industria e Comercio de Autopeças S.A
Decisão colegiada terminativa,"235",DCT,S,5008,Everaldo Cândido da Silva
Decisão colegiada terminativa,"235",DCT,S,5008,EXPRESSO T.S.TRANSPORTES E EMPREENDIMENTOS LTDA.
Decisão colegiada terminativa,"235",DCT,S,5008,Geosol
Decisão colegiada terminativa,"235",DCT,S,5008,Geraldo Milagres da Silva
Decisão colegiada terminativa,"235",DCT,S,5008,GLEICIANE GOMES DA SILVA
Decisão colegiada terminativa,"235",DCT,S,5008,IRMÃOS FARID LTDA
Decisão colegiada terminativa,"235",DCT,S,5008,João Lucas Fernandes Pereira
Decisão colegiada terminativa,"235",DCT,S,5008,jose cleiton
Decisão colegiada terminativa,"235",DCT,S,5008,José Eurípedes Antônio de Ramos
Decisão colegiada terminativa,"235",DCT,S,5008,JOSÉ MARIA DA SILVA
Decisão colegiada terminativa,"235",DCT,S,5008,Marcio Luciano Gomes
Decisão colegiada terminativa,"235",DCT,S,5008,MARCO AURELIO CARDOSO DOS SANTOS
Decisão colegiada terminativa,"235",DCT,S,5008,MARIA MARCIA PEREIRA GUERSON
Decisão colegiada terminativa,"235",DCT,S,5008,recorrente
Decisão colegiada terminativa,"235",DCT,S,5008,RINALDO JANUÁRIO
Decisão colegiada terminativa,"235",DCT,S,5008,Serraria e Carpintaria Bruno Ltda.
Decisão colegiada terminativa,"235",DCT,S,5008,SETEM - Serviços Técnicos de Montagens e Manutenção - EIRELI ( em recuperação judicial)
Decisão colegiada terminativa,"235",DCT,S,5008,SINDICATO DOS EMP COMERCIO HOTELEIRO E SIMILARES DE JUIZ DE FORA
Decisão colegiada terminativa,"235",DCT,S,5008,SODEXO DO BRASIL COMERCIAL LTDA.
Decisão colegiada terminativa,"235",DCT,S,5008,SUPERMERCADOS BH LTDA
Decisão colegiada terminativa,"235",DCT,S,5008,THAMIRES DA SILVA ASSIS COELHO
Decisão colegiada terminativa,"235",DCT,S,5008,transportadora
Decisão colegiada terminativa,"235",DCT,S,5008,Valéria Ramos Steves de Oliveira
Decisão colegiada terminativa,"235",DCT,S,5008,VIANA AUTO PEÇAS
Decisão colegiada terminativa,"235",DCT,S,5008,ZELIA DA CONCEICAO CANDIDA MAIA
Decisão colegiada terminativa,"235",DCT,S,5008,
Decisão colegiada terminativa,"235",DCT,S,5022,Conflito de atribuições
Decisão colegiada terminativa,"235",DCT,S,5022,Conflito de competência
Decisão colegiada terminativa,"235",DCT,S,5022,
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo de Instrumento em Agravo de Petição
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo de Instrumento em Recurso Extraordinário
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo de Instrumento em Recurso Ordinário
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo de Instrumento em Recurso Ordinário para o STF
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo de Petição
Decisão colegiada terminativa,"235",DCT,S,5024,Agravo Regimental
Decisão colegiada terminativa,"235",DCT,S,5024,Embargos
Decisão colegiada terminativa,"235",DCT,S,5024,Embargos de Declaração
Decisão colegiada terminativa,"235",DCT,S,5024,Embargos Infringentes
Decisão colegiada terminativa,"235",DCT,S,5024,Recurso Adesivo
Decisão colegiada terminativa,"235",DCT,S,5024,Recurso de Revista
Decisão colegiada terminativa,"235",DCT,S,5024,Recurso Ordinário
Decisão colegiada terminativa,"235",DCT,S,5024,Reexame Necessário
Decisão colegiada terminativa,"235",DCT,S,5024,Reexame Necessário/Recurso Ordinário
Decisão colegiada terminativa,"235",DCT,S,5024,
Decisão colegiada terminativa,"236",DCT,S,,
Decisão colegiada terminativa,"237",DCT,S,,
Decisão colegiada terminativa,"238",DCT,S,,
Decisão colegiada terminativa,"239",DCT,S,,
Decisão colegiada terminativa,"240",DCT,S,,
Decisão colegiada terminativa,"241",DCT,S,,
Decisão colegiada terminativa,"242",DCT,S,,
Decisão colegiada terminativa,"442",DCT,S,,
Decisão colegiada terminativa,"443",DCT,S,,
Decisão colegiada terminativa,"446",DCT,S,,
Decisão colegiada terminativa,"450",DCT,S,,
Decisão colegiada terminativa,"454",DCT,S,,
Decisão colegiada terminativa,"455",DCT,S,,
Decisão colegiada terminativa,"458",DCT,S,,
Decisão colegiada terminativa,"459",DCT,S,,
Decisão colegiada terminativa,"460",DCT,S,,
Decisão colegiada terminativa,"461",DCT,S,,
Decisão colegiada terminativa,"463",DCT,S,,
Decisão colegiada terminativa,"466",DCT,S,,
Decisão colegiada terminativa,"471",DCT,S,,
Decisão colegiada terminativa,"50048",DCT,S,5023,Antecipação de Tutela
Decisão colegiada terminativa,"50048",DCT,S,5023,Embargos à Execução
Decisão colegiada terminativa,"50048",DCT,S,5023,Exceção de Incompetência
Decisão colegiada terminativa,"50048",DCT,S,5023,Exceção de Pré-executividade
Decisão colegiada terminativa,"50048",DCT,S,5023,Exceção de Suspeição
Decisão colegiada terminativa,"50048",DCT,S,5023,Impugnação à Sentença de Liquidação
Decisão colegiada terminativa,"50048",DCT,S,5023,Tutela Antecipada Antecedente
Decisão colegiada terminativa,"50048",DCT,S,5023,Tutela Cautelar Antecedente
Decisão colegiada terminativa,"50050",DCT,S,5023,Antecipação de Tutela
Decisão colegiada terminativa,"50050",DCT,S,5023,Exceção de Suspeição
Decisão colegiada terminativa,"50111",DCT,S,5059,Incidente de Assunção de Competência
Decisão colegiada terminativa,"50111",DCT,S,5059,Incidente de Resolução de Demandas Repetitivas
Decisão colegiada terminativa,"871",DCT,S,,
Decisão colegiada terminativa,"901",DCT,S,,
Decisão colegiada terminativa,"972",DCT,S,,
Devolução ao gabinete do relator,"123",DGR,S,7,Gabinete do relator
Devolução ao gabinete do relator,"123",DGR,S,18,para atender solicitação
Decisão monocrática interlocutória,"1059",DMI,S,5024,Agravo
Decisão monocrática interlocutória,"1059",DMI,S,5024,Agravo de Instrumento em Agravo de Petição
Decisão monocrática interlocutória,"1059",DMI,S,5024,Agravo de Instrumento em Recurso Extraordinário
Decisão monocrática interlocutória,"1059",DMI,S,5024,Agravo de Petição
Decisão monocrática interlocutória,"1059",DMI,S,5024,Agravo Regimental
Decisão monocrática interlocutória,"1059",DMI,S,5024,Embargos
Decisão monocrática interlocutória,"1059",DMI,S,5024,Embargos de Declaração
Decisão monocrática interlocutória,"1059",DMI,S,5024,Recurso Adesivo
Decisão monocrática interlocutória,"1059",DMI,S,5024,Recurso de Revista
Decisão monocrática interlocutória,"11382",DMI,S,,
Decisão monocrática interlocutória,"11796",DMI,S,,
Decisão monocrática interlocutória,"12037",DMI,S,,
Decisão monocrática interlocutória,"128",DMI,S,5008,
Decisão monocrática interlocutória,"190",DMI,S,5000,"07/03/2019"
Decisão monocrática interlocutória,"190",DMI,S,5000,"11/10/2013"
Decisão monocrática interlocutória,"190",DMI,S,5000,"12/08/2015"
Decisão monocrática interlocutória,"190",DMI,S,5000,"18/03/2013"
Decisão monocrática interlocutória,"190",DMI,S,5000,"23/04/2018"
Decisão monocrática interlocutória,"190",DMI,S,5000,"24/11/2015"
Decisão monocrática interlocutória,"190",DMI,S,5032,decisão monocrática
Decisão monocrática interlocutória,"196",DMI,S,5070,cumprimento integral do acordo
Decisão monocrática interlocutória,"196",DMI,S,,
Decisão monocrática interlocutória,"269",DMI,S,,
Decisão monocrática interlocutória,"332",DMI,S,,
Decisão monocrática interlocutória,"334",DMI,S,,
Decisão monocrática interlocutória,"339",DMI,S,,
Decisão monocrática interlocutória,"347",DMI,S,,
Decisão monocrática interlocutória,"348",DMI,S,,
Decisão monocrática interlocutória,"371",DMI,S,,
Decisão monocrática interlocutória,"373",DMI,S,,
Decisão monocrática interlocutória,"374",DMI,S,,
Decisão monocrática interlocutória,"429",DMI,S,,
Decisão monocrática interlocutória,"432",DMI,S,,
Decisão monocrática interlocutória,"472",DMI,S,,
Decisão monocrática interlocutória,"473",DMI,S,,
Decisão monocrática interlocutória,"50003",DMI,S,,
Decisão monocrática interlocutória,"50004",DMI,S,,
Decisão monocrática interlocutória,"50006",DMI,S,,
Decisão monocrática interlocutória,"50007",DMI,S,,
Decisão monocrática interlocutória,"50029",DMI,S,,
Decisão monocrática interlocutória,"50047",DMI,S,,
Decisão monocrática interlocutória,"50049",DMI,S,5023,Antecipação de Tutela
Decisão monocrática interlocutória,"50049",DMI,S,5023,Embargos à Execução
Decisão monocrática interlocutória,"50049",DMI,S,5023,Exceção de Incompetência
Decisão monocrática interlocutória,"50049",DMI,S,5023,Exceção de Suspeição
Decisão monocrática interlocutória,"50049",DMI,S,5023,Tutela Antecipada Antecedente
Decisão monocrática interlocutória,"50049",DMI,S,5023,Tutela Cautelar Antecedente
Decisão monocrática interlocutória,"50068",DMI,S,,
Decisão monocrática interlocutória,"50070",DMI,S,,
Decisão monocrática interlocutória,"50071",DMI,S,,
Decisão monocrática interlocutória,"50073",DMI,S,5011,"100,00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"100.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1000.46"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1010.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"101.70"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1019.52"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1020.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10200.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10240.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1030.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"103.28"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10360.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"103.80"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1040.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"105,01"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"106.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1060.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1061.43"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10,64"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10.64"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1070.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"10702.75"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"108.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1080.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1098.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1099.60"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"110.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1100.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"110,01"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11100.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"111.63"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11200.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"112,16"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1122.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1127.15"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"112.89"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11295.11"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1136.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1140.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11400.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1153.30"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"116.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1160.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11600.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"117,38"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11800.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"119.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1190.26"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"11905.65"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"12.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"120,00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"120.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1200.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"12000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1206,16"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1220.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1230.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"12300.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"12309.24"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1236.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1250,15"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"126.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1260.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1265.51"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1266.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1290.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"12969.62"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1299.04"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"130.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1300.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"13000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1306.24"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1322.59"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1347.03"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1347.12"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1350.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"135.15"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1360.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"13600.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1372.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"137.43"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"13.75"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1385.92"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"139.56"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"140.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1400.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"14000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1400000.00"
Decisão monocrática interlocutória,"50073",DMI,S,5011,"1408.29"
